term,id,loan_amnt,home_ownership,emp_length,annual_inc,loan_status,purpose,dti,revol_util,total_rec_late_fee,grade
 36 months,572578,25000,MORTGAGE,10,4.00E+05,Fully Paid,home_improvement,3.46,4%,0,A
 60 months,576557,14000,OWN,10,66000,Charged Off,debt_consolidation,14,11.20%,0,A
 36 months,576680,17000,MORTGAGE,8,125000,Fully Paid,car,7.52,24.40%,0,A
 36 months,576665,4750,MORTGAGE,2,19200,Fully Paid,debt_consolidation,3.63,44%,0,B
 60 months,576659,11500,MORTGAGE,2,130000,Fully Paid,home_improvement,14.18,44.60%,0,A
 60 months,572823,25000,MORTGAGE,10,86000,Fully Paid,home_improvement,17.72,36.30%,0,A
 60 months,576601,6000,MORTGAGE,9,60000,Fully Paid,car,5.86,0%,0,A
 36 months,575730,10000,RENT,4,51996,Fully Paid,other,15.28,8.90%,0,A
 60 months,576007,25000,MORTGAGE,10,140004,Fully Paid,debt_consolidation,10.89,35.20%,0,B
 36 months,573552,5000,RENT,1,28800,Fully Paid,debt_consolidation,22.25,62.70%,0,A
 36 months,576386,3200,RENT,5,15600,Charged Off,debt_consolidation,11.85,,14.95976813,B
 36 months,576527,14000,MORTGAGE,5,1.00E+05,Fully Paid,debt_consolidation,3.05,87.60%,0,A
 36 months,564582,15000,MORTGAGE,10,64000,Fully Paid,debt_consolidation,22.69,57.50%,0,B
 36 months,576435,19750,MORTGAGE,10,90000,Fully Paid,debt_consolidation,21.16,84.40%,0,B
 36 months,574692,20000,RENT,4,65004,Fully Paid,debt_consolidation,21.52,90.40%,0,B
 60 months,576413,9000,MORTGAGE,10,60000,Charged Off,credit_card,16.28,54.90%,0,B
 60 months,576391,9000,MORTGAGE,2,36000,Fully Paid,home_improvement,16,9.90%,0,A
 60 months,576116,6000,RENT,3,27996,Charged Off,debt_consolidation,4.16,83.40%,14.70461538,B
 36 months,576346,6075,OWN,5,37000,Fully Paid,credit_card,20.72,46.80%,0,A
 36 months,576237,2500,RENT,10,47544,Fully Paid,other,4.29,48.80%,0,A
 36 months,554253,14000,RENT,4,60000,Fully Paid,debt_consolidation,13.18,68.60%,0,B
 36 months,576299,12000,RENT,1,50000,Fully Paid,car,7.25,19.30%,0,A
 36 months,576284,2000,MORTGAGE,n/a,38795.4,Fully Paid,debt_consolidation,7.24,17.40%,0,A
 36 months,576232,4800,MORTGAGE,10,52000,Charged Off,home_improvement,9.05,4.20%,0,A
 36 months,576208,1200,MORTGAGE,5,25440,Fully Paid,medical,12.69,79.20%,0,B
 60 months,576200,10000,MORTGAGE,2,50000,Fully Paid,small_business,2.98,40.80%,0,B
 60 months,576195,16000,RENT,1,68000,Fully Paid,debt_consolidation,24.76,84.40%,0,B
 36 months,576177,7000,RENT,10,61392,Fully Paid,debt_consolidation,14.43,78.90%,0,B
 36 months,576139,5000,MORTGAGE,3,36000,Fully Paid,debt_consolidation,21.87,21%,0,A
 60 months,576122,10000,RENT,3,48000,Charged Off,debt_consolidation,7.3,74.20%,0,B
 60 months,576129,20000,RENT,10,115000,Fully Paid,debt_consolidation,10.11,75.30%,0,B
 60 months,574343,12000,RENT,4,42996,Charged Off,debt_consolidation,14.99,81.20%,0,B
 36 months,576087,16750,RENT,10,60000,Charged Off,debt_consolidation,21.4,45.60%,0,B
 36 months,576077,12000,MORTGAGE,10,128899.92,Charged Off,debt_consolidation,17.57,26.80%,0,A
 36 months,574625,9600,RENT,1,24696,Fully Paid,major_purchase,7.39,0%,0,A
 36 months,575905,18000,MORTGAGE,4,74237.28,Fully Paid,wedding,16.28,63.80%,0,B
 36 months,576072,7000,RENT,7,65000,Fully Paid,debt_consolidation,3.42,69.50%,0,A
 36 months,576063,5000,RENT,10,35000,Fully Paid,credit_card,5.73,14.30%,0,A
 36 months,576046,5000,RENT,3,50400,Fully Paid,moving,19.1,24.60%,0,A
 36 months,576045,7500,RENT,10,52000,Fully Paid,debt_consolidation,16.57,22.40%,0,A
 36 months,574924,9000,MORTGAGE,2,58000,Fully Paid,debt_consolidation,17.54,56.70%,0,B
 60 months,575984,13300,MORTGAGE,10,24000,Charged Off,major_purchase,8.1,14.80%,0,A
 36 months,576002,3500,MORTGAGE,1,67296,Charged Off,home_improvement,20.15,66.70%,0,A
 36 months,576013,6000,MORTGAGE,1,105000,Fully Paid,debt_consolidation,8.88,64.60%,0,B
 36 months,576004,7000,MORTGAGE,6,51996,Fully Paid,debt_consolidation,15.97,60.80%,0,B
 36 months,575993,25000,MORTGAGE,6,120000,Fully Paid,debt_consolidation,9.78,98.30%,0,B
 36 months,575970,12000,MORTGAGE,10,75500,Fully Paid,credit_card,14.7,33.80%,0,A
 36 months,572691,18250,RENT,3,35004,Fully Paid,debt_consolidation,18.55,61.50%,0,A
 60 months,575895,15000,MORTGAGE,7,168000,Fully Paid,home_improvement,10.77,73.70%,0,B
 36 months,574644,4000,RENT,3,34500,Fully Paid,other,8.07,44%,0,A
 36 months,575856,10000,MORTGAGE,3,84500,Fully Paid,major_purchase,7.16,0%,0,A
 36 months,575795,25000,MORTGAGE,5,220000,Fully Paid,debt_consolidation,12.1,23.40%,0,A
 36 months,575794,1500,RENT,1,45000,Fully Paid,vacation,20.77,79.10%,0,A
 36 months,571386,6000,RENT,1,69996,Fully Paid,other,22.18,69.80%,0,A
 36 months,563573,20000,MORTGAGE,4,170000,Fully Paid,debt_consolidation,7.41,76%,0,B
 60 months,575751,2800,MORTGAGE,7,84812,Charged Off,home_improvement,20.05,93.60%,0,B
 36 months,575734,8000,RENT,2,70000,Fully Paid,credit_card,10.49,67.60%,0,B
 36 months,575717,4750,RENT,10,24000,Fully Paid,debt_consolidation,24.85,88.70%,0,A
 36 months,575712,5000,RENT,5,96000,Charged Off,small_business,4.04,80.60%,0,A
 36 months,575687,1500,RENT,1,30000,Fully Paid,debt_consolidation,1.92,53.90%,0,B
 60 months,575676,16750,RENT,1,43867,Charged Off,debt_consolidation,21.61,79.80%,0,B
 36 months,575662,2000,OWN,6,43200,Fully Paid,debt_consolidation,22.06,71.50%,0,B
 36 months,573882,7500,MORTGAGE,5,90000,Fully Paid,major_purchase,4.43,8.60%,0,A
 36 months,575533,15000,MORTGAGE,10,75000,Fully Paid,debt_consolidation,7.92,10.70%,0,A
 36 months,575605,1500,RENT,4,24000,Fully Paid,major_purchase,22.15,90.10%,0,A
 60 months,575602,15000,MORTGAGE,1,52000,Fully Paid,debt_consolidation,12.78,44.50%,0,B
 36 months,573773,5400,RENT,10,64617,Fully Paid,other,12.54,34.60%,0,B
 36 months,575582,8000,RENT,n/a,48000,Fully Paid,debt_consolidation,3.85,44.40%,0,A
 60 months,575383,25000,MORTGAGE,8,120000,Fully Paid,debt_consolidation,11.82,55.20%,0,B
 36 months,575540,25000,MORTGAGE,5,90000,Fully Paid,debt_consolidation,16.03,65.90%,0,A
 60 months,575569,6075,RENT,10,45000,Charged Off,debt_consolidation,3.89,21.60%,0,A
 36 months,575543,7500,RENT,1,43260,Fully Paid,moving,23.86,85.90%,44.99999993,B
 36 months,575536,13750,MORTGAGE,3,1.00E+05,Fully Paid,debt_consolidation,20.72,82.30%,0,B
 36 months,575167,3200,RENT,10,50004,Fully Paid,other,14.11,72.20%,0,A
 36 months,575506,2000,MORTGAGE,10,63600,Charged Off,debt_consolidation,23.23,0%,0,A
 36 months,575494,5600,RENT,3,30000,Fully Paid,medical,2.01,87.90%,0,B
 60 months,575481,8000,RENT,5,48900,Charged Off,debt_consolidation,17.5,48.30%,0,B
 60 months,575479,9600,MORTGAGE,7,120000,Fully Paid,debt_consolidation,13.25,45.90%,0,B
 36 months,574902,1500,RENT,10,44604,Fully Paid,other,24.08,77.10%,0,A
 60 months,575382,4000,RENT,2,48000,Fully Paid,car,2.6,1%,15,A
 60 months,575353,3000,MORTGAGE,5,75000,Fully Paid,home_improvement,3.62,56.50%,0,B
 36 months,575351,24000,RENT,5,60000,Fully Paid,credit_card,14.86,26.60%,0,A
 36 months,575333,8000,MORTGAGE,8,80000,Fully Paid,debt_consolidation,21.04,74.60%,0,B
 36 months,574842,15000,MORTGAGE,8,118000,Fully Paid,small_business,8.22,13.50%,0,A
 36 months,575315,7000,RENT,3,45000,Fully Paid,debt_consolidation,11.33,68.40%,0,A
 60 months,575310,2500,RENT,3,12000,Fully Paid,debt_consolidation,8.3,24.20%,0,B
 36 months,575301,3500,RENT,10,25000,Fully Paid,credit_card,6.82,16.20%,0,A
 36 months,566679,5000,RENT,5,30000,Fully Paid,small_business,16.32,81.40%,0,B
 36 months,575245,6400,MORTGAGE,10,72000,Fully Paid,debt_consolidation,9.4,14.40%,0,A
 36 months,572888,6000,RENT,5,30000,Fully Paid,other,20.08,53.60%,0,B
 36 months,575220,4000,MORTGAGE,7,45000,Fully Paid,major_purchase,21.09,25.50%,0,A
 60 months,575189,21000,OWN,2,156268,Fully Paid,home_improvement,16.43,68.80%,0,B
 60 months,575175,8000,MORTGAGE,3,60000,Fully Paid,home_improvement,11.44,5.40%,0,A
 36 months,575116,15000,RENT,10,60000,Charged Off,small_business,10.88,44.40%,0,A
 60 months,574998,5875,MORTGAGE,6,65000,Charged Off,debt_consolidation,15.78,39.80%,15,B
 36 months,574886,3250,RENT,4,28800,Fully Paid,debt_consolidation,24.46,78.40%,0,B
 36 months,572730,2850,RENT,2,12000,Fully Paid,credit_card,10.2,60.10%,0,B
 36 months,574958,1500,RENT,4,61900,Fully Paid,other,10.53,58.40%,0,B
 36 months,574235,4800,RENT,5,21000,Fully Paid,other,22.63,75.40%,0,A
 36 months,574900,4750,OWN,4,24000,Charged Off,debt_consolidation,21.4,70.70%,0,B
 36 months,570780,8000,OWN,10,90000,Fully Paid,credit_card,19.24,22%,0,A
 36 months,574876,7000,RENT,1,45000,Fully Paid,credit_card,12.75,46.40%,0,A
 36 months,574856,9500,RENT,4,61000,Fully Paid,debt_consolidation,16.82,17.80%,0,A
 60 months,574768,5600,MORTGAGE,9,95000,Fully Paid,home_improvement,13.73,37.50%,0,A
 36 months,574841,13000,MORTGAGE,2,37000,Fully Paid,debt_consolidation,19.39,56.40%,0,A
 60 months,574821,10000,MORTGAGE,2,39000,Charged Off,debt_consolidation,13.51,61%,0,A
 36 months,574813,6325,RENT,2,60200,Fully Paid,credit_card,16.01,17.70%,0,A
 60 months,574811,9000,MORTGAGE,10,72000,Charged Off,home_improvement,1.4,29.20%,59.94244683,B
 60 months,574788,15000,MORTGAGE,8,78600,Charged Off,debt_consolidation,15.65,31.10%,0,B
 60 months,574301,24250,OWN,10,75000,Fully Paid,debt_consolidation,14.29,54.40%,0,B
 60 months,574418,2400,MORTGAGE,3,90996,Fully Paid,other,11.38,36.50%,0,A
 36 months,574763,25000,MORTGAGE,4,94000,Fully Paid,home_improvement,10.42,7.20%,0,A
 36 months,572030,10000,RENT,1,70000,Fully Paid,other,12.1,19.30%,0,A
 60 months,574703,8400,RENT,1,40000,Charged Off,wedding,21.51,81.70%,0,B
 36 months,574689,1200,RENT,2,45000,Fully Paid,debt_consolidation,18.88,97.30%,15,B
 36 months,574645,24000,MORTGAGE,10,80000,Fully Paid,moving,15.45,50.60%,0,B
 36 months,574652,7200,RENT,3,70000,Fully Paid,debt_consolidation,19.15,35.90%,0,B
 60 months,561362,5000,MORTGAGE,1,60000,Fully Paid,home_improvement,11.4,68.70%,0,B
 36 months,573861,7000,MORTGAGE,10,87000,Fully Paid,debt_consolidation,16.83,19.50%,0,A
 60 months,562283,16000,MORTGAGE,3,67500,Fully Paid,credit_card,23.15,43.30%,0,B
 60 months,573916,25000,MORTGAGE,10,140000,Fully Paid,debt_consolidation,19.65,79.30%,0,B
 36 months,574477,2500,RENT,3,26400,Fully Paid,debt_consolidation,5.68,3.60%,0,B
 60 months,574541,8000,MORTGAGE,4,60000,Fully Paid,home_improvement,19.14,52.10%,0,B
 60 months,574419,10500,MORTGAGE,6,76200,Fully Paid,home_improvement,19.57,81.50%,0,B
 60 months,574531,6000,RENT,8,39600,Fully Paid,debt_consolidation,16.33,32.60%,0,B
 36 months,574499,12000,RENT,3,1.00E+05,Fully Paid,debt_consolidation,4,3.50%,0,A
 36 months,574507,12000,OWN,3,75000,Charged Off,debt_consolidation,9.76,52.20%,0,A
 36 months,574479,3000,RENT,1,26208,Fully Paid,medical,14.29,93.80%,0,B
 36 months,574430,10000,MORTGAGE,9,60000,Fully Paid,debt_consolidation,12.94,15.60%,0,A
 36 months,574313,3000,RENT,7,32640,Fully Paid,debt_consolidation,14.08,5.60%,0,A
 36 months,573480,16000,OWN,3,55000,Fully Paid,debt_consolidation,8.47,58%,0,A
 36 months,574270,14000,MORTGAGE,10,140000,Fully Paid,credit_card,3.05,20.60%,0,A
 36 months,574251,15000,RENT,6,60000,Fully Paid,debt_consolidation,10.52,66.10%,0,A
 36 months,573415,10000,MORTGAGE,10,53004,Charged Off,debt_consolidation,21.12,81.60%,0,B
 36 months,573837,9000,MORTGAGE,4,141000,Fully Paid,major_purchase,8.31,45.80%,0,A
 60 months,574222,10000,MORTGAGE,2,82000,Fully Paid,home_improvement,21.12,51.80%,0,A
 36 months,573683,16000,MORTGAGE,10,140000,Fully Paid,debt_consolidation,15.92,15.30%,0,A
 36 months,559871,2800,RENT,2,24000,Fully Paid,moving,2.8,12.70%,0,A
 60 months,574184,6000,MORTGAGE,2,54000,Charged Off,debt_consolidation,19.82,89.10%,0,B
 60 months,572339,2100,MORTGAGE,4,75000,Charged Off,debt_consolidation,17.12,55%,0,B
 36 months,573944,20000,RENT,4,60000,Fully Paid,debt_consolidation,13.5,30.80%,0,A
 60 months,561595,17500,RENT,1,42000,Charged Off,debt_consolidation,23.03,90.50%,0,B
 36 months,573912,6000,RENT,2,45000,Fully Paid,debt_consolidation,24.11,49.80%,0,A
 60 months,573788,8500,MORTGAGE,1,60000,Charged Off,car,14.74,94.40%,0,B
 36 months,573874,5600,MORTGAGE,6,108041,Fully Paid,debt_consolidation,9.84,94.20%,0,B
 60 months,572804,7575,RENT,2,63996,Fully Paid,car,10.39,65.60%,0,A
 36 months,573841,9250,OWN,2,27996,Fully Paid,debt_consolidation,23.66,86.50%,0,A
 60 months,573817,16750,MORTGAGE,10,50400,Charged Off,debt_consolidation,13.74,51.60%,0,A
 36 months,573795,10000,MORTGAGE,7,55000,Fully Paid,credit_card,12.63,37.70%,0,B
 36 months,572894,8000,RENT,5,57996,Fully Paid,other,7.92,9.70%,0,A
 36 months,573742,10000,RENT,2,48000,Fully Paid,debt_consolidation,7.75,82.20%,0,B
 60 months,573735,10000,RENT,3,120000,Fully Paid,moving,9.11,80.80%,0,B
 60 months,570928,14000,MORTGAGE,1,80004,Fully Paid,home_improvement,5.67,6.50%,0,A
 60 months,573680,16000,RENT,3,65000,Fully Paid,renewable_energy,7.83,49.50%,0,A
 36 months,573357,6000,RENT,1,20000,Fully Paid,debt_consolidation,5.04,35.90%,0,A
 60 months,573675,10000,RENT,10,160396,Fully Paid,small_business,9.39,48.10%,0,A
 36 months,572126,5000,RENT,1,39996,Fully Paid,debt_consolidation,8.64,67.90%,0,B
 60 months,573221,12500,MORTGAGE,10,72600,Fully Paid,debt_consolidation,9.7,3.70%,0,A
 36 months,572739,9000,RENT,1,49500,Fully Paid,debt_consolidation,17.5,68.70%,0,B
 60 months,551767,14500,MORTGAGE,10,65000,Fully Paid,debt_consolidation,23.59,46.10%,0,A
 36 months,573638,10000,RENT,2,50000,Fully Paid,credit_card,14.78,73.20%,0,B
 60 months,562282,12000,MORTGAGE,5,51996,Fully Paid,other,12.62,86.50%,0,B
 36 months,573608,12000,RENT,10,56000,Fully Paid,debt_consolidation,6.26,43.30%,0,A
 36 months,572301,4200,RENT,10,38400,Fully Paid,debt_consolidation,5.13,6.60%,0,A
 36 months,573580,4000,RENT,2,40000,Fully Paid,debt_consolidation,19.17,50.50%,0,A
 36 months,573573,10000,MORTGAGE,10,74000,Fully Paid,major_purchase,10.44,25.30%,0,A
 60 months,573569,5000,OWN,5,41000,Fully Paid,moving,8,39.60%,0,A
 36 months,573555,6000,MORTGAGE,6,70000,Fully Paid,other,0,0%,0,A
 36 months,573279,15000,MORTGAGE,1,65000,Fully Paid,small_business,16.04,4.90%,0,A
 36 months,573575,2000,RENT,5,32000,Fully Paid,credit_card,22.24,81.70%,0,A
 36 months,573459,9500,MORTGAGE,10,58896,Fully Paid,major_purchase,14.73,9%,0,A
 36 months,572190,8000,MORTGAGE,3,165000,Fully Paid,vacation,3.45,15.20%,0,A
 60 months,573515,16000,MORTGAGE,10,304000,Fully Paid,debt_consolidation,3.71,28.20%,0,B
 36 months,566600,7000,MORTGAGE,8,51000,Fully Paid,other,23.44,63.10%,0,A
 36 months,572846,4000,RENT,1,22000,Fully Paid,credit_card,4.69,11.50%,0,A
 36 months,571315,6000,MORTGAGE,10,70000,Charged Off,small_business,6.48,90%,14.96329581,B
 36 months,572970,21000,MORTGAGE,8,61000,Fully Paid,debt_consolidation,10.11,60.70%,0,A
 36 months,573418,15000,RENT,10,50400,Fully Paid,debt_consolidation,13.33,35.60%,0,A
 36 months,553208,4800,RENT,3,45000,Fully Paid,home_improvement,9.87,24%,0,A
 36 months,573368,12000,MORTGAGE,10,70000,Fully Paid,debt_consolidation,2.43,26.70%,0,A
 36 months,573298,8000,MORTGAGE,10,72000,Fully Paid,debt_consolidation,8.27,77.20%,0,A
 36 months,573354,10000,RENT,10,30000,Charged Off,home_improvement,5,1.20%,0,A
 36 months,573363,5000,MORTGAGE,10,110000,Fully Paid,debt_consolidation,1.16,2%,0,A
 36 months,573077,8000,MORTGAGE,2,30000,Fully Paid,credit_card,0.4,0.30%,0,A
 36 months,572770,6000,RENT,2,50004,Fully Paid,debt_consolidation,20.78,98.20%,0,B
 36 months,572425,2000,RENT,3,42000,Fully Paid,other,4.09,92.80%,0,A
 36 months,573291,12250,RENT,10,36000,Fully Paid,debt_consolidation,24.4,48.20%,0,A
 36 months,564234,15000,RENT,10,79000,Charged Off,renewable_energy,8.95,18.80%,0,A
 36 months,568327,8000,RENT,1,96000,Fully Paid,small_business,0.25,12.90%,0,B
 36 months,572226,22000,MORTGAGE,9,55920,Fully Paid,debt_consolidation,14.08,34.50%,0,A
 60 months,573186,14000,RENT,4,52000,Fully Paid,debt_consolidation,16.38,80.60%,0,B
 60 months,573268,4200,MORTGAGE,10,117000,Fully Paid,car,8.99,15.80%,0,A
 60 months,573275,4750,MORTGAGE,1,27600,Fully Paid,home_improvement,22.65,69.30%,0,B
 60 months,569883,8000,RENT,1,32000,Fully Paid,debt_consolidation,7.01,31%,0,A
 36 months,573265,25000,MORTGAGE,7,190000,Fully Paid,debt_consolidation,15.95,63.90%,0,A
 60 months,573239,4000,MORTGAGE,2,105000,Fully Paid,moving,19.28,91.60%,0,B
 36 months,573233,12000,MORTGAGE,3,55000,Fully Paid,medical,18.28,52.70%,0,A
 36 months,572849,5000,RENT,3,98000,Fully Paid,debt_consolidation,16.11,0%,0,B
 60 months,572179,4500,OWN,7,36996,Fully Paid,debt_consolidation,19.1,41.20%,0,B
 36 months,561371,2600,OWN,n/a,24972,Fully Paid,car,24.07,21.40%,0,A
 36 months,570609,15000,MORTGAGE,10,87000,Fully Paid,debt_consolidation,6.79,9.40%,0,A
 36 months,573219,2500,MORTGAGE,3,40000,Fully Paid,home_improvement,23.13,8.10%,0,A
 36 months,573214,7000,MORTGAGE,7,93000,Fully Paid,major_purchase,13.15,13.70%,0,A
 60 months,573194,12000,RENT,3,76000,Fully Paid,credit_card,13.61,78.10%,0,B
 60 months,571564,18000,MORTGAGE,10,99996,Fully Paid,debt_consolidation,13.42,25.10%,0,B
 36 months,573173,3000,MORTGAGE,3,80000,Charged Off,small_business,10.14,93%,0,B
 36 months,572855,20000,MORTGAGE,10,138000,Fully Paid,other,9.16,17.90%,0,A
 60 months,573115,3000,MORTGAGE,3,70000,Charged Off,home_improvement,0.69,11.60%,0,B
 60 months,572268,10000,RENT,6,53004,Fully Paid,debt_consolidation,16.16,60.20%,15,B
 36 months,573051,8250,RENT,5,30000,Fully Paid,debt_consolidation,22.16,13.20%,0,A
 36 months,550712,10000,RENT,10,95000,Fully Paid,major_purchase,7.59,70.70%,0,A
 36 months,573092,25000,MORTGAGE,1,105000,Fully Paid,home_improvement,4.24,4.10%,0,A
 36 months,573056,6000,RENT,3,51500,Fully Paid,debt_consolidation,5.27,86.20%,0,A
 36 months,573059,14000,MORTGAGE,10,114000,Fully Paid,other,6.18,6.10%,0,A
 36 months,570024,5100,OWN,n/a,33996,Charged Off,other,4.94,33.50%,0,A
 60 months,573020,13000,OWN,9,36000,Charged Off,credit_card,21.47,77.60%,0,B
 60 months,573005,20000,MORTGAGE,10,290000,Charged Off,credit_card,11.17,87.40%,0,B
 60 months,572974,10750,RENT,3,31200,Fully Paid,credit_card,20.42,84.80%,0,B
 60 months,571882,8400,RENT,1,30204,Charged Off,debt_consolidation,3.62,33.60%,0,B
 60 months,572971,4500,RENT,3,26000,Charged Off,debt_consolidation,2.21,63.80%,0,B
 60 months,572949,5000,RENT,3,31200,Fully Paid,small_business,8.92,8.90%,0,B
 36 months,572912,2000,OWN,1,16500,Fully Paid,major_purchase,8.87,36.20%,0.65,B
 36 months,572922,4500,RENT,n/a,51372,Fully Paid,debt_consolidation,10.63,5.60%,0,A
 60 months,572908,15000,MORTGAGE,2,110000,Fully Paid,debt_consolidation,20.5,95%,0,B
 60 months,572892,6000,MORTGAGE,7,24000,Charged Off,small_business,22.35,72.40%,0,A
 60 months,572896,4625,RENT,3,26000,Charged Off,car,14.31,17.10%,0,A
 60 months,571883,8500,MORTGAGE,10,72000,Fully Paid,debt_consolidation,20.18,84.60%,0,B
 36 months,572893,4000,RENT,3,40000,Fully Paid,vacation,22.67,73.50%,0,A
 36 months,572885,5750,RENT,1,34000,Fully Paid,credit_card,15.95,77%,30.00000004,A
 36 months,572889,8500,MORTGAGE,10,26400,Fully Paid,debt_consolidation,19.77,92%,0,B
 36 months,572877,5000,RENT,7,35004,Fully Paid,other,22.32,47.20%,0,A
 36 months,572871,12000,MORTGAGE,10,75000,Fully Paid,debt_consolidation,20,43.60%,0,B
 60 months,571779,20000,RENT,10,59000,Fully Paid,debt_consolidation,16.92,23.90%,0,B
 60 months,572615,10000,MORTGAGE,10,110004,Fully Paid,debt_consolidation,22.04,56.20%,0,A
 60 months,572259,15000,MORTGAGE,10,76000,Fully Paid,home_improvement,1.01,1.80%,0,A
 36 months,572434,10400,RENT,1,42000,Fully Paid,major_purchase,13.69,20.40%,0,A
 36 months,572819,3600,MORTGAGE,10,83137,Fully Paid,other,17.6,48.60%,0,B
 36 months,571131,7000,RENT,8,81000,Fully Paid,credit_card,13.23,78.90%,0,B
 60 months,572784,3000,RENT,2,58000,Fully Paid,house,14.57,71.90%,0,B
 36 months,560780,17500,MORTGAGE,10,60000,Fully Paid,debt_consolidation,20.04,45%,0,A
 60 months,572390,21000,MORTGAGE,2,75000,Fully Paid,home_improvement,17.89,64.20%,0,B
 36 months,572506,1750,OWN,3,12600,Fully Paid,debt_consolidation,22.29,40.10%,0,B
 36 months,572731,6000,MORTGAGE,1,41000,Fully Paid,debt_consolidation,9.01,70.20%,0,A
 60 months,572680,12000,RENT,2,30156,Fully Paid,debt_consolidation,15.76,36.40%,0,A
 36 months,572690,25000,MORTGAGE,3,155000,Fully Paid,debt_consolidation,10.32,29.80%,0,B
 36 months,572682,25000,MORTGAGE,10,54000,Fully Paid,other,1.6,88.80%,0,A
 36 months,572670,11000,MORTGAGE,10,39500,Fully Paid,home_improvement,11.61,9.10%,0,A
 36 months,572649,10000,MORTGAGE,1,90000,Fully Paid,major_purchase,7.55,14.30%,0,A
 36 months,572659,1500,RENT,1,57000,Charged Off,home_improvement,7.45,91.10%,0,B
 36 months,572484,2500,RENT,1,24960,Fully Paid,other,12.02,0%,0,A
 36 months,545345,3500,MORTGAGE,10,54000,Fully Paid,major_purchase,23.42,87.90%,0,A
 60 months,571729,9800,RENT,10,69000,Charged Off,debt_consolidation,6.02,88.60%,0,B
 60 months,572568,3200,MORTGAGE,10,93000,Charged Off,debt_consolidation,16.62,86%,0,B
 36 months,572566,5000,RENT,5,24000,Fully Paid,debt_consolidation,18.7,45.80%,0,A
 60 months,572546,18000,MORTGAGE,5,143004,Fully Paid,home_improvement,7.41,0%,0,B
 36 months,572542,4000,MORTGAGE,10,50000,Fully Paid,car,15.86,18.70%,0,B
 36 months,555452,5000,RENT,4,32760,Fully Paid,major_purchase,0.31,0%,0,B
 36 months,572331,16000,RENT,1,110004,Fully Paid,major_purchase,14.61,5.70%,0,B
 36 months,572509,5000,MORTGAGE,1,43000,Fully Paid,other,12.81,9.60%,0,A
 36 months,572492,5000,OWN,10,30000,Fully Paid,small_business,1.4,5.30%,0,A
 36 months,572468,25000,RENT,4,135000,Fully Paid,debt_consolidation,15.49,55.70%,0,B
 36 months,572077,2400,OWN,2,78000,Fully Paid,car,16.05,65.90%,0,B
 60 months,560364,11900,RENT,1,36000,Fully Paid,credit_card,17.97,67.90%,0,B
 36 months,572410,15000,RENT,10,55000,Fully Paid,debt_consolidation,18.37,45.40%,0,A
 60 months,572412,8000,RENT,2,55000,Fully Paid,debt_consolidation,6.33,20.70%,0,A
 36 months,560114,1200,MORTGAGE,10,54000,Fully Paid,renewable_energy,8.47,81.30%,0,A
 60 months,572356,6700,RENT,6,49920,Fully Paid,car,2.31,48.10%,0,B
 36 months,571927,7200,MORTGAGE,10,22000,Fully Paid,car,13.09,53.70%,0,A
 36 months,561236,2000,RENT,1,45000,Fully Paid,small_business,4.13,41%,0,A
 36 months,567116,15000,RENT,5,92000,Fully Paid,debt_consolidation,14.2,76.60%,0,B
 60 months,571548,10000,RENT,7,25000,Fully Paid,debt_consolidation,11.76,87.80%,0,B
 36 months,564412,9225,OWN,5,45996,Fully Paid,debt_consolidation,13.07,19.30%,0,A
 60 months,572224,13000,MORTGAGE,7,55000,Fully Paid,debt_consolidation,11.89,46.80%,0,A
 36 months,572284,15000,MORTGAGE,5,71496,Fully Paid,debt_consolidation,5.42,28.80%,26.35000005,B
 36 months,572277,8400,RENT,4,102000,Fully Paid,small_business,14.24,98.60%,0,B
 36 months,572236,3800,RENT,1,55000,Fully Paid,credit_card,12.77,46.30%,0,A
 60 months,569448,12000,MORTGAGE,10,92000,Fully Paid,debt_consolidation,24.51,22.10%,0,B
 60 months,572227,6000,MORTGAGE,7,50000,Fully Paid,debt_consolidation,1.08,6.40%,0,A
 36 months,571906,10000,RENT,10,99996,Fully Paid,other,8.4,79.90%,0,B
 36 months,572204,9000,RENT,2,60000,Fully Paid,debt_consolidation,19.54,34.70%,0,A
 36 months,572196,4000,RENT,2,19200,Fully Paid,credit_card,8.13,96.60%,0,B
 60 months,572178,1500,MORTGAGE,4,46000,Fully Paid,home_improvement,5.3,40.70%,0,B
 60 months,572171,9600,MORTGAGE,10,70000,Fully Paid,debt_consolidation,13.75,56.80%,0,A
 36 months,572138,5000,MORTGAGE,10,90000,Fully Paid,wedding,11.2,91.30%,0,B
 36 months,572143,9000,MORTGAGE,4,30000,Fully Paid,educational,8.8,25.70%,0,A
 36 months,571995,15000,MORTGAGE,1,72996,Fully Paid,debt_consolidation,21.07,37.40%,0,A
 60 months,572120,4000,RENT,3,42840,Fully Paid,other,6.75,40.50%,0,B
 36 months,572106,6000,MORTGAGE,4,97000,Fully Paid,wedding,19.26,48%,0,B
 36 months,572084,1925,RENT,6,78000,Charged Off,debt_consolidation,16.98,75.80%,14.99242861,B
 36 months,572082,1800,RENT,5,168288,Fully Paid,debt_consolidation,1.17,26.50%,0,A
 60 months,571999,17500,MORTGAGE,4,102000,Fully Paid,wedding,19.24,12.10%,0,B
 36 months,571830,18000,MORTGAGE,2,117000,Fully Paid,home_improvement,14.46,8.80%,0,A
